minimum_nights,review_scores_rating,id,neighbourhood_cleansed
30,99.0,1177310,Noe Valley
30,99.0,1178260,North Beach
3,98.0,1178281,Western Addition
4,93.0,1180103,Western Addition
3,96.0,1182465,Castro/Upper Market
2,96.0,1183521,Outer Richmond
30,98.0,1195173,Nob Hill
30,98.0,1200068,Outer Mission
30,99.0,1201159,South of Market
3,99.0,1203062,Mission
3,96.0,1203172,Bernal Heights
1,88.0,1203526,Haight Ashbury
1,99.0,1203684,Nob Hill
2,100.0,1203849,Noe Valley
30,98.0,1205031,South of Market
30,92.0,1206032,Outer Mission
1,86.0,1206184,Haight Ashbury
1,84.0,1206233,Haight Ashbury
1,89.0,1206261,Haight Ashbury
2,96.0,1209893,Presidio Heights
2,100.0,1212513,Castro/Upper Market
3,97.0,1212746,Castro/Upper Market
10,98.0,1212822,Marina
3,99.0,1214080,Bernal Heights
3,97.0,1223107,Mission
29,96.0,1223704,South of Market
3,91.0,1226596,Bernal Heights
31,93.0,1229606,South of Market
7,94.0,1237143,Russian Hill
10,98.0,1241029,Marina
3,95.0,1245838,Bernal Heights
30,75.0,1247160,Western Addition
30,92.0,1249046,Downtown/Civic Center
2,97.0,1251570,Castro/Upper Market
3,97.0,1261074,Castro/Upper Market
3,96.0,1261122,West of Twin Peaks
3,96.0,1267206,Noe Valley
5,99.0,1276953,Western Addition
3,93.0,1277771,Inner Richmond
2,99.0,1281132,Bernal Heights
1,97.0,1281167,Downtown/Civic Center
2,100.0,1286943,Bernal Heights
4,100.0,1290935,Castro/Upper Market
2,98.0,1291092,Marina
30,97.0,1292217,Western Addition
3,92.0,1301798,Mission
30,100.0,1301843,Russian Hill
3,98.0,1304068,Castro/Upper Market
30,95.0,1304808,Western Addition
3,100.0,1309496,Haight Ashbury
3,98.0,1317908,Western Addition
1,98.0,1323983,Castro/Upper Market
4,98.0,1324086,Marina
7,100.0,1328186,Castro/Upper Market
30,98.0,1329465,South of Market
3,99.0,1332343,Haight Ashbury
1,98.0,1333047,Mission
30,92.0,1336798,Haight Ashbury
2,97.0,1336998,Western Addition
3,97.0,1340755,Potrero Hill
5,92.0,1344243,Inner Richmond
30,88.0,1344752,Western Addition
30,93.0,1351626,Outer Mission
30,96.0,1351783,Outer Sunset
30,98.0,1352111,Pacific Heights
30,98.0,1355744,Western Addition
2,95.0,1356129,Mission
2,98.0,1356817,South of Market
30,100.0,1364882,Marina
30,94.0,1388523,Mission
6,91.0,1391982,Mission
3,97.0,1392204,West of Twin Peaks
1,98.0,1393654,Inner Sunset
5,94.0,1397537,Bernal Heights
6,100.0,1405046,Outer Richmond
2,97.0,1407244,Potrero Hill
30,96.0,1407881,Castro/Upper Market
1,98.0,1408281,Castro/Upper Market
30,97.0,1409218,South of Market
2,99.0,1421671,Mission
3,97.0,1421774,Castro/Upper Market
3,98.0,1421937,West of Twin Peaks
30,96.0,1428465,Noe Valley
30,100.0,1428553,Castro/Upper Market
30,91.0,1428909,Mission
5,93.0,1429022,Marina
1,96.0,1433011,Russian Hill
30,98.0,1433917,Castro/Upper Market
3,100.0,1434314,Noe Valley
4,97.0,1434425,Castro/Upper Market
2,93.0,1437321,Inner Sunset
30,93.0,1438286,Bernal Heights
3,97.0,1438864,Noe Valley
30,100.0,1442027,Downtown/Civic Center
1,100.0,1450899,Castro/Upper Market
30,89.0,1454220,Haight Ashbury
4,95.0,1456153,Bernal Heights
3,99.0,1460174,Western Addition
2,86.0,1460628,Inner Richmond
30,100.0,1466344,Financial District
30,97.0,1467857,Western Addition
3,98.0,1470340,Crocker Amazon
3,98.0,1471683,Western Addition
1,97.0,1474209,Downtown/Civic Center
2,98.0,1478708,Outer Richmond
30,93.0,1479666,Western Addition
3,99.0,1480015,Haight Ashbury
30,98.0,1482273,Marina
4,96.0,1482730,Bernal Heights
2,95.0,1483853,Downtown/Civic Center
30,99.0,1484792,Downtown/Civic Center
2,92.0,1487849,Bernal Heights
3,99.0,1489175,Outer Mission
2,92.0,1489782,Western Addition
30,97.0,1494771,Noe Valley
