reviews_per_month,review_scores_rating,id
1.18,97.0,2387068
0.81,87.0,2391772
5.13,97.0,2396847
1.89,99.0,2397852
1.26,99.0,2397858
2.07,98.0,2400409
0.89,92.0,2412158
3.91,100.0,2420887
0.02,100.0,2423948
0.73,94.0,2432104
0.34,99.0,2436213
0.91,96.0,2455313
2.71,96.0,2455325
0.6,93.0,2460904
0.27,97.0,2465543
0.22,99.0,2468125
0.09,100.0,2469485
3.16,97.0,2471457
0.09,90.0,2477409
0.47,100.0,2477787
0.11,97.0,2478558
0.7,98.0,2482884
2.17,95.0,2483759
1.9,97.0,2486953
1.41,99.0,2488520
0.94,94.0,2488837
3.86,97.0,2496086
1.0,100.0,2496460
0.06,100.0,2496719
0.31,96.0,2499257
0.06,90.0,2500662
1.14,97.0,2502368
0.35,93.0,2502543
0.63,98.0,2503408
0.82,92.0,2509236
0.38,90.0,2510224
0.16,90.0,2516026
5.8,98.0,2518781
0.38,88.0,2521327
0.26,82.0,2532756
3.5,96.0,2538807
1.92,97.0,2539953
0.49,92.0,2550991
0.91,97.0,2551994
2.52,99.0,2557977
0.55,88.0,2559297
0.25,86.0,2564006
0.29,87.0,2564140
2.78,98.0,2578122
3.7,98.0,2592518
0.23,94.0,2611820
1.42,94.0,2614717
0.19,98.0,2620371
1.02,95.0,2629833
0.15,96.0,2635278
0.46,80.0,2636716
0.33,97.0,2645189
0.09,88.0,2657854
0.27,100.0,2658295
0.46,99.0,2665028
3.47,98.0,2670951
2.06,98.0,2677273
5.27,98.0,2677288
0.59,86.0,2683409
0.48,95.0,2683857
0.9,98.0,2686530
2.62,96.0,2694526
0.99,98.0,2706776
0.25,99.0,2707422
0.2,95.0,2710372
0.72,99.0,2723005
4.49,96.0,2736358
0.66,97.0,2737894
1.88,93.0,2738331
2.76,98.0,2739477
1.48,94.0,2742151
2.14,96.0,2747383
3.07,94.0,2770268
2.29,94.0,2770561
2.65,97.0,2771128
2.09,92.0,2771688
3.39,97.0,2783251
0.73,100.0,2790637
4.21,95.0,2802418
0.56,95.0,2802480
0.27,99.0,2804417
0.18,100.0,2816626
0.76,96.0,2823227
1.36,94.0,2825966
0.52,95.0,2890120
0.18,96.0,2893920
0.24,98.0,2904128
0.78,97.0,2925557
0.65,98.0,2926901
2.62,99.0,2927781
2.53,98.0,2933105
0.35,98.0,2933899
0.12,97.0,2935400
0.28,100.0,2937902
0.28,99.0,2939849
1.65,98.0,2942149
0.28,95.0,2943327
0.34,98.0,2944266
6.94,97.0,2944843
0.89,99.0,2948159
0.06,93.0,2949071
1.74,100.0,2950592
6.63,98.0,2956406
0.15,92.0,2959323
0.38,98.0,2960229
0.82,98.0,2965433
1.33,98.0,2968738
0.26,100.0,2970253
0.08,90.0,2980184
4.85,98.0,2984463
1.67,97.0,2994606
0.98,98.0,3013427
0.39,87.0,3013520
4.63,97.0,3015450
0.67,99.0,3028924
3.4,98.0,3029597
6.52,95.0,3030653
0.49,100.0,3042811
1.55,94.0,3043102
0.12,100.0,3053443
0.29,60.0,3068285
1.34,98.0,3073038
0.54,95.0,3079665
0.69,99.0,3079929
2.0,94.0,3081324
2.98,100.0,3081560
5.75,97.0,3082327
0.09,100.0,3084671
0.64,95.0,3093070
3.66,97.0,3093543
0.74,100.0,3102139
0.77,96.0,3105361
0.34,99.0,3105998
2.71,97.0,3112427
1.52,94.0,3114387
0.22,100.0,3115424
0.33,96.0,3116428
1.75,99.0,3116974
2.27,99.0,3122882
1.66,98.0,3123536
4.48,99.0,3124541
0.9,98.0,3133266
0.09,80.0,3140113
0.31,99.0,3157463
2.49,96.0,3157541
4.42,96.0,3168359
0.08,100.0,3175769
1.79,96.0,3182798
0.55,99.0,3183280
