price,guests_included,review_scores_rating,id
$45.00,1,93.0,241235
$160.00,2,97.0,242008
$135.00,1,97.0,244361
$130.00,1,90.0,245339
$280.00,4,98.0,252867
$139.00,1,98.0,256148
$100.00,1,97.0,256176
$115.00,1,88.0,258873
$45.00,1,92.0,259621
$45.00,1,94.0,259622
$114.00,1,90.0,259919
$138.00,1,80.0,261358
$115.00,1,95.0,269371
$250.00,2,95.0,269463
$133.00,2,98.0,271602
$35.00,1,91.0,271647
$325.00,4,98.0,273530
$89.00,1,95.0,274334
$97.00,1,97.0,276072
$110.00,1,97.0,277339
$575.00,4,97.0,279184
$250.00,1,94.0,280549
$57.00,1,88.0,280673
$89.00,2,95.0,284117
$300.00,1,100.0,284766
$210.00,1,100.0,285499
$475.00,6,96.0,286311
$300.00,4,98.0,287907
$190.00,2,98.0,288213
$45.00,1,82.0,292723
$299.00,1,98.0,295240
$30.00,1,96.0,295565
$312.00,2,96.0,297897
$159.00,1,97.0,307837
$99.00,1,89.0,308885
$325.00,1,97.0,314248
$600.00,2,99.0,314368
$90.00,2,94.0,317121
$48.00,1,97.0,323635
$327.00,4,97.0,325478
$139.00,2,94.0,326650
$250.00,2,100.0,329020
$189.00,3,94.0,330535
$298.00,2,99.0,330736
$99.00,1,98.0,334339
$165.00,1,98.0,334886
$99.00,1,100.0,338849
$595.00,6,100.0,342420
$95.00,2,98.0,344621
$119.00,1,93.0,345760
$160.00,2,93.0,348580
$190.00,2,96.0,348714
$185.00,2,99.0,350391
$58.00,1,96.0,350479
$125.00,1,97.0,351881
$35.00,1,69.0,351950
$45.00,1,83.0,351978
$115.00,1,90.0,352165
$90.00,1,100.0,353292
$270.00,4,96.0,361230
$95.00,2,97.0,364397
$549.00,1,95.0,374997
$70.00,1,90.0,377569
$672.00,8,98.0,379255
$130.00,2,93.0,379349
$390.00,1,96.0,379418
$102.00,2,97.0,381217
$250.00,2,97.0,392543
$149.00,2,96.0,394575
$355.00,4,100.0,400433
$700.00,1,96.0,408471
$169.00,4,98.0,409549
$189.00,1,100.0,413663
$130.00,2,96.0,415498
$99.00,1,97.0,420160
$289.00,2,96.0,423063
$119.00,2,95.0,423300
$132.00,2,99.0,424846
$68.00,1,97.0,430692
$140.00,2,89.0,431632
$124.00,1,95.0,431862
$30.00,1,96.0,435389
$30.00,1,100.0,435390
$30.00,1,94.0,435391
$123.00,1,99.0,437385
$116.00,2,95.0,438940
$109.00,1,97.0,438967
$350.00,8,90.0,439703
$250.00,1,98.0,442349
$324.00,4,99.0,442397
$190.00,1,100.0,444675
$110.00,3,87.0,450992
$57.00,2,89.0,455783
$89.00,1,97.0,456568
$425.00,8,93.0,457862
$225.00,4,100.0,457986
$148.00,1,100.0,459990
$160.00,2,97.0,465723
$145.00,1,99.0,467507
$490.00,1,92.0,468490
$280.00,1,94.0,468751
$125.00,1,98.0,470686
$170.00,1,98.0,472901
$30.00,1,100.0,474001
$90.00,1,97.0,474107
$109.00,2,94.0,479072
$230.00,6,95.0,479415
$550.00,6,96.0,482592
$195.00,2,94.0,485286
$205.00,5,89.0,487019
$125.00,2,96.0,487499
$499.00,1,98.0,488297
$375.00,4,96.0,491867
$130.00,1,98.0,491874
$225.00,2,97.0,493889
$130.00,2,92.0,494111
$170.00,3,94.0,496226
$100.00,1,96.0,499096
$295.00,4,97.0,501057
$220.00,2,97.0,501770
$350.00,4,99.0,503362
$289.00,2,98.0,504146
$275.00,4,87.0,505530
$200.00,1,100.0,505763
$260.00,4,91.0,515260
$131.00,1,96.0,515430
$90.00,2,97.0,515524
$135.00,1,97.0,516836
$550.00,3,100.0,517803
$126.00,2,99.0,519796
$495.00,5,95.0,522089
$70.00,1,96.0,522273
$95.00,1,97.0,527226
$112.00,1,100.0,530857
$449.00,8,99.0,531151
$43.00,1,89.0,533193
$650.00,6,97.0,533627
$140.00,1,97.0,545585
$79.00,1,96.0,545685
$1195.00,6,99.0,548232
$129.00,2,97.0,555596
$220.00,3,100.0,560440
$450.00,1,98.0,561148
$105.00,1,100.0,561602
$103.00,2,97.0,562311
$200.00,2,99.0,562593
$95.00,1,97.0,567239
$68.00,1,98.0,568161
$460.00,1,100.0,571042
$129.00,1,100.0,575551
$1000.00,1,99.0,576018
$280.00,2,100.0,578097
$93.00,2,97.0,580106
$139.00,2,95.0,581216
$1049.00,1,100.0,582335
$99.00,2,95.0,585225
$69.00,1,95.0,585326
$400.00,4,99.0,587375
$295.00,2,96.0,589767
$195.00,2,100.0,591524
$98.00,1,92.0,592883
$121.00,1,83.0,593165
$95.00,1,98.0,593253
$63.00,1,96.0,596042
$125.00,1,96.0,598271
$105.00,2,97.0,598579
$350.00,5,100.0,602036
$975.00,5,98.0,602535
$82.00,1,100.0,604843
$79.00,1,90.0,604999
$375.00,6,97.0,607500
$450.00,6,92.0,616204
$279.00,4,96.0,616517
$123.00,3,96.0,626349
$125.00,1,100.0,627358
$201.00,2,95.0,631635
$280.00,2,96.0,631658
$50.00,1,94.0,631735
$95.00,1,100.0,632303
$79.00,1,95.0,633629
$280.00,2,96.0,635850
$975.00,3,97.0,640352
$500.00,4,99.0,640895
$178.00,1,100.0,642672
$130.00,1,95.0,643918
$250.00,2,99.0,647360
$79.00,1,96.0,648086
$85.00,1,95.0,651624
$90.00,1,99.0,654279
$475.00,6,100.0,654860
$199.00,1,100.0,655326
$585.00,1,100.0,657121
$282.00,2,100.0,662754
$240.00,4,97.0,663623
$85.00,1,93.0,664307
$450.00,4,97.0,664315
$395.00,1,99.0,677207
$135.00,2,98.0,678556
$150.00,1,97.0,680288
$35.00,1,86.0,687430
$450.00,6,99.0,691023
$395.00,1,97.0,699723
$145.00,2,96.0,713877
$180.00,2,100.0,715543
$160.00,2,99.0,715754
$79.00,1,96.0,719431
$135.00,2,95.0,720811
$379.00,6,96.0,725300
$322.00,4,96.0,726657
$153.00,1,98.0,727866
$210.00,2,95.0,727969
$175.00,2,97.0,728486
$139.00,1,98.0,728585
$275.00,4,97.0,728884
$95.00,2,92.0,730045
$520.00,1,98.0,732779
$162.00,1,95.0,734801
$185.00,4,99.0,734839
$178.00,1,100.0,738493
$395.00,5,94.0,738547
$123.00,1,72.0,741327
$115.00,2,97.0,746079
$120.00,1,98.0,748222
$120.00,1,98.0,748256
$175.00,2,94.0,749744
$225.00,2,98.0,749990
$350.00,6,95.0,752607
$152.00,3,99.0,754117
$145.00,2,96.0,758815
$250.00,1,96.0,760794
$399.00,1,97.0,765914
$135.00,4,98.0,766516
$410.00,1,96.0,767506
$85.00,1,95.0,769734
$139.00,2,98.0,770991
$300.00,1,97.0,774323
$645.00,6,99.0,776239
$129.00,1,95.0,778520
$160.00,1,98.0,779109
$250.00,2,74.0,781945
$250.00,2,99.0,783821
$45.00,1,93.0,785901
$45.00,1,94.0,786492
$45.00,1,94.0,786506
$120.00,2,92.0,794626
$150.00,2,99.0,795254
$57.00,1,95.0,797887
$180.00,4,95.0,802559
$325.00,2,99.0,806199
$130.00,1,93.0,808660
$110.00,1,98.0,808919
$70.00,2,99.0,810315
$105.00,1,94.0,811374
$40.00,1,95.0,815183
$289.00,3,100.0,819856
$135.00,4,87.0,819863
$699.00,4,100.0,829185
$135.00,3,93.0,830330
$175.00,1,83.0,830576
$200.00,2,76.0,830997
$125.00,2,88.0,833149
$249.00,4,94.0,837045
