cleaning_fee,review_scores_cleanliness,id
$150.00,9.0,3664693
$60.00,10.0,3672198
$110.00,9.0,3689368
$200.00,10.0,3697738
$250.00,10.0,3712976
$0.00,10.0,3716504
$0.00,10.0,3718865
$75.00,10.0,3719923
$50.00,10.0,3720392
$50.00,10.0,3721927
$105.00,10.0,3727061
$150.00,10.0,3743219
$100.00,10.0,3757966
$25.00,10.0,3759246
$65.00,10.0,3759368
$200.00,10.0,3761446
$100.00,10.0,3767907
$150.00,9.0,3775090
$45.00,10.0,3780418
$225.00,9.0,3791003
$150.00,10.0,3792754
$95.00,10.0,3793678
$75.00,9.0,3793831
$100.00,9.0,3808193
$60.00,10.0,3811916
$80.00,10.0,3812931
$60.00,10.0,3832296
$119.00,10.0,3844037
$200.00,10.0,3852803
$250.00,10.0,3862478
$100.00,10.0,3870174
$85.00,10.0,3877462
$88.00,10.0,3883252
$300.00,10.0,3889219
$95.00,10.0,3890704
$20.00,8.0,3895335
$250.00,10.0,3895951
$70.00,10.0,3924524
$100.00,9.0,3944915
$50.00,10.0,3946571
$175.00,10.0,3962831
$125.00,10.0,3994686
$60.00,9.0,4013746
