host_is_superhost,review_scores_rating,id
t,99.0,4718531
f,94.0,4718629
f,93.0,4718898
f,100.0,4719139
t,95.0,4720512
f,88.0,4728615
t,97.0,4748287
f,95.0,4760192
f,98.0,4773944
t,97.0,4774742
f,90.0,4782281
t,98.0,4794816
t,99.0,4807817
t,100.0,4825026
f,98.0,4825217
t,99.0,4833101
t,100.0,4838843
t,98.0,4841027
f,90.0,4855194
t,96.0,4855686
f,100.0,4856290
t,100.0,4863182
f,90.0,4867594
t,98.0,4875549
f,91.0,4880695
f,93.0,4880988
t,98.0,4882295
f,95.0,4887475
f,91.0,4887587
f,96.0,4888308
f,94.0,4890230
f,88.0,4892016
f,93.0,4896087
f,95.0,4897143
f,97.0,4897595
f,90.0,4902063
f,94.0,4902365
f,95.0,4902444
f,90.0,4902565
f,91.0,4902729
f,90.0,4902855
f,89.0,4902907
f,95.0,4907924
f,91.0,4909117
t,97.0,4936887
f,93.0,4948327
f,91.0,4948340
f,96.0,4949779
f,92.0,4956697
t,99.0,4957143
t,92.0,4959980
f,95.0,4962043
f,92.0,4965866
f,97.0,4966389
t,100.0,4987668
f,98.0,4993804
f,90.0,5007358
t,99.0,5013816
f,96.0,5019863
f,87.0,5025420
t,89.0,5027016
t,99.0,5031525
f,95.0,5031660
f,89.0,5039206
f,95.0,5045601
t,100.0,5068486
f,92.0,5070945
f,90.0,5070973
f,90.0,5076251
t,100.0,5086367
t,98.0,5094146
f,100.0,5114942
t,95.0,5117701
t,99.0,5126076
t,98.0,5144482
t,99.0,5151423
t,99.0,5154227
f,83.0,5154242
t,98.0,5154367
f,94.0,5162669
f,95.0,5173043
f,98.0,5174935
f,96.0,5194736
f,85.0,5195922
f,90.0,5196070
f,91.0,5196116
f,99.0,5196142
f,90.0,5196233
f,96.0,5196399
f,100.0,5212418
f,100.0,5212469
t,93.0,5217164
t,96.0,5222044
t,98.0,5242394
f,100.0,5253001
f,96.0,5253439
f,93.0,5272750
f,98.0,5286047
f,30.0,5286782
f,97.0,5299461
f,93.0,5299538
f,98.0,5309546
f,98.0,5317789
t,97.0,5319588
t,95.0,5320351
f,99.0,5325355
f,100.0,5327231
t,99.0,5345792
f,92.0,5376278
