minimum_nights,review_scores_rating,id,neighbourhood
3,98.0,728585,Noe Valley
30,97.0,728884,Noe Valley
30,92.0,730045,Noe Valley
5,98.0,732779,Richmond District
30,95.0,734801,Western Addition/NOPA
30,99.0,734839,North Beach
2,100.0,738493,Potrero Hill
3,94.0,738547,Fisherman's Wharf
30,72.0,741327,Nob Hill
1,97.0,746079,The Castro
1,98.0,748222,Mission District
1,98.0,748256,Mission District
30,94.0,749744,Cole Valley
30,98.0,749990,Lower Haight
3,95.0,752607,Mission District
30,99.0,754117,Haight-Ashbury
30,96.0,758815,Marina
14,96.0,760794,Glen Park
7,97.0,765914,Mission District
30,98.0,766516,Bernal Heights
2,96.0,767506,Sunnyside
2,95.0,769734,Mission District
3,98.0,770991,Noe Valley
2,97.0,774323,Mission District
4,99.0,776239,The Castro
4,95.0,778520,Mission District
1,98.0,779109,Mission District
30,99.0,783821,The Castro
1,93.0,785901,Financial District
1,94.0,786492,Financial District
1,94.0,786506,Financial District
2,92.0,794626,Excelsior
3,99.0,795254,Duboce Triangle
30,95.0,797887,Sunnyside
4,95.0,802559,Ingleside
4,99.0,806199,South Beach
30,93.0,808660,Western Addition/NOPA
3,98.0,808919,Alamo Square
30,99.0,810315,Cow Hollow
30,94.0,811374,Russian Hill
30,95.0,815183,Sunnyside
30,100.0,819856,SoMa
1,87.0,819863,Inner Sunset
4,100.0,829185,Mission District
3,93.0,830330,Bernal Heights
30,76.0,830997,SoMa
30,88.0,833149,Inner Sunset
2,94.0,837045,Lower Haight
30,99.0,840986,Bernal Heights
3,89.0,845480,Crocker Amazon
3,88.0,845501,Crocker Amazon
5,93.0,845502,Western Addition/NOPA
3,89.0,848578,Crocker Amazon
3,99.0,851889,SoMa
1,100.0,856123,Mission District
31,97.0,859310,Mission District
2,97.0,859336,Haight-Ashbury
30,96.0,862201,Potrero Hill
30,100.0,863987,Western Addition/NOPA
30,96.0,865873,Mission District
4,100.0,867499,Mission District
30,96.0,867530,Bernal Heights
5,99.0,867555,Mission District
30,97.0,870532,Duboce Triangle
3,97.0,870705,Bernal Heights
30,73.0,872206,Mission District
2,95.0,873705,Western Addition/NOPA
30,97.0,878935,Inner Sunset
3,93.0,881105,Marina
4,97.0,883937,Bernal Heights
1,96.0,884770,Russian Hill
2,91.0,890875,Hayes Valley
4,100.0,893720,Marina
30,92.0,899499,Potrero Hill
30,96.0,900393,Potrero Hill
90,98.0,900941,The Castro
30,100.0,902435,South Beach
5,97.0,905399,Mission District
30,92.0,905902,Outer Sunset
4,100.0,909063,Mission District
30,98.0,911029,Haight-Ashbury
2,99.0,915058,Bernal Heights
1,99.0,918341,Potrero Hill
30,90.0,923807,Alamo Square
5,95.0,929468,The Castro
30,92.0,930955,Cole Valley
30,84.0,931313,Mission District
5,100.0,932481,Pacific Heights
30,95.0,934012,Richmond District
2,97.0,936209,Mission District
1,95.0,937842,Mission District
30,94.0,938330,Western Addition/NOPA
30,100.0,943851,Mission District
2,97.0,945748,Presidio Heights
30,98.0,950094,Bayview
30,78.0,955071,Haight-Ashbury
31,97.0,958507,SoMa
30,96.0,961900,SoMa
30,95.0,964751,Richmond District
3,99.0,964952,Western Addition/NOPA
2,95.0,968046,Excelsior
30,99.0,968308,SoMa
1,97.0,968852,Lower Haight
30,92.0,971069,North Beach
2,99.0,971116,Western Addition/NOPA
30,100.0,975482,Haight-Ashbury
30,99.0,980783,Potrero Hill
3,93.0,982298,Outer Sunset
30,87.0,983739,Duboce Triangle
4,98.0,991765,Mission District
1,97.0,992676,Glen Park
2,84.0,992913,Telegraph Hill
1,89.0,997382,Haight-Ashbury
3,99.0,998701,Outer Sunset
4,94.0,1001415,The Castro
30,97.0,1001759,The Castro
3,98.0,1003756,Potrero Hill
2,97.0,1005642,Mission District
30,92.0,1007157,Nob Hill
2,93.0,1011751,Balboa Terrace
30,95.0,1015336,Marina
4,95.0,1016604,Richmond District
1,93.0,1017799,Inner Sunset
1,92.0,1023586,Inner Sunset
3,99.0,1029621,Duboce Triangle
30,95.0,1030352,Mission District
30,100.0,1031899,Noe Valley
1,98.0,1033754,Outer Sunset
2,98.0,1036860,Fisherman's Wharf
30,86.0,1037251,Bernal Heights
