host_response_rate,review_scores_rating,id
100%,98.0,2956406.0
100%,92.0,2959323.0
100%,98.0,2960229.0
100%,98.0,2965433.0
100%,98.0,2968738.0
100%,98.0,2984463.0
100%,97.0,2994606.0
100%,98.0,3013427.0
100%,87.0,3013520.0
100%,97.0,3015450.0
100%,99.0,3028924.0
100%,98.0,3029597.0
100%,95.0,3030653.0
100%,100.0,3042811.0
100%,94.0,3043102.0
100%,100.0,3053443.0
90%,60.0,3068285.0
100%,98.0,3073038.0
100%,95.0,3079665.0
100%,99.0,3079929.0
100%,94.0,3081324.0
100%,100.0,3081560.0
100%,97.0,3082327.0
100%,95.0,3093070.0
100%,97.0,3093543.0
100%,100.0,3102139.0
100%,96.0,3105361.0
100%,97.0,3112427.0
90%,94.0,3114387.0
100%,100.0,3115424.0
100%,96.0,3116428.0
100%,99.0,3116974.0
100%,99.0,3122882.0
100%,98.0,3123536.0
100%,99.0,3124541.0
100%,98.0,3133266.0
100%,80.0,3140113.0
100%,99.0,3157463.0
100%,96.0,3157541.0
100%,96.0,3168359.0
0%,100.0,3175769.0
100%,96.0,3182798.0
100%,99.0,3183280.0
100%,96.0,3200431.0
100%,98.0,3201044.0
100%,96.0,3205059.0
100%,98.0,3218306.0
100%,96.0,3221082.0
100%,90.0,3225725.0
100%,93.0,3230459.0
100%,97.0,3240016.0
96%,100.0,3246879.0
100%,98.0,3250486.0
100%,87.0,3256704.0
100%,95.0,3257886.0
100%,95.0,3257979.0
100%,97.0,3261876.0
100%,99.0,3263219.0
100%,98.0,3271517.0
100%,97.0,3290739.0
100%,99.0,3292643.0
100%,98.0,3309722.0
100%,98.0,3311711.0
100%,97.0,3312490.0
98%,95.0,3319159.0
100%,97.0,3319447.0
100%,97.0,3325741.0
100%,100.0,3326640.0
100%,100.0,3333870.0
96%,98.0,3333937.0
100%,92.0,3343629.0
100%,91.0,3354004.0
78%,90.0,3354928.0
100%,100.0,3355334.0
50%,97.0,3376512.0
90%,96.0,3376895.0
89%,98.0,3377936.0
100%,96.0,3384413.0
100%,97.0,3391368.0
60%,98.0,3394127.0
100%,98.0,3402610.0
60%,94.0,3415171.0
100%,99.0,3416013.0
100%,99.0,3433930.0
100%,99.0,3441517.0
100%,99.0,3441949.0
100%,99.0,3442439.0
100%,100.0,3469254.0
90%,85.0,3475515.0
90%,100.0,3476601.0
100%,95.0,3479568.0
100%,93.0,3482655.0
100%,97.0,3486460.0
98%,97.0,3505185.0
100%,98.0,3506164.0
100%,98.0,3519611.0
0%,97.0,3520817.0
100%,98.0,3522990.0
90%,90.0,3532347.0
100%,98.0,3534282.0
100%,99.0,3549398.0
100%,94.0,3563261.0
50%,96.0,3565068.0
100%,100.0,3591813.0
100%,98.0,3594786.0
100%,90.0,3611131.0
83%,89.0,3612236.0
100%,100.0,3613500.0
90%,84.0,3655811.0
90%,96.0,3656251.0
100%,94.0,3664261.0
0%,86.0,3664693.0
100%,97.0,3672198.0
100%,92.0,3689368.0
100%,98.0,3697738.0
100%,98.0,3712976.0
95%,98.0,3716504.0
100%,98.0,3719923.0
100%,99.0,3720392.0
100%,99.0,3721927.0
100%,99.0,3757966.0
100%,94.0,3759246.0
100%,97.0,3759368.0
100%,98.0,3761446.0
100%,99.0,3767907.0
100%,98.0,3780418.0
100%,97.0,3792754.0
100%,99.0,3793678.0
100%,96.0,3793831.0
100%,94.0,3808193.0
100%,97.0,3811916.0
100%,99.0,3812931.0
100%,96.0,3832296.0
40%,96.0,3844037.0
100%,99.0,3852803.0
100%,100.0,3862478.0
100%,98.0,3870174.0
100%,99.0,3877462.0
100%,96.0,3883252.0
100%,96.0,3889219.0
100%,94.0,3890704.0
100%,99.0,3895951.0
25%,94.0,3924524.0
98%,84.0,3944915.0
100%,97.0,3946571.0
100%,97.0,3962831.0
100%,97.0,3994686.0
100%,97.0,4013746.0
100%,100.0,4014209.0
100%,60.0,4015985.0
99%,91.0,4022209.0
99%,90.0,4022990.0
100%,92.0,4023249.0
100%,98.0,4024236.0
92%,92.0,4026354.0
100%,100.0,4033038.0
100%,100.0,4037590.0
100%,99.0,4052091.0
99%,89.0,4059549.0
96%,97.0,4069838.0
100%,99.0,4069917.0
100%,94.0,4077186.0
100%,100.0,4093013.0
100%,99.0,4093807.0
100%,98.0,4093967.0
100%,98.0,4097700.0
100%,95.0,4100473.0
100%,97.0,4104344.0
100%,98.0,4105892.0
100%,98.0,4105958.0
70%,94.0,4106442.0
99%,91.0,4110344.0
100%,94.0,4121114.0
100%,96.0,4121691.0
100%,99.0,4122671.0
100%,98.0,4135201.0
100%,89.0,4145563.0
100%,99.0,4157192.0
100%,97.0,4157431.0
100%,100.0,4175174.0
100%,100.0,4183088.0
100%,99.0,4184406.0
100%,94.0,4191242.0
100%,98.0,4199015.0
100%,96.0,4215907.0
100%,95.0,4227441.0
100%,99.0,4243837.0
100%,100.0,4250927.0
100%,99.0,4252808.0
100%,97.0,4257302.0
100%,87.0,4259418.0
100%,98.0,4269254.0
100%,100.0,4277696.0
100%,92.0,4280408.0
100%,94.0,4287481.0
100%,99.0,4305042.0
100%,100.0,4319230.0
99%,91.0,4359078.0
100%,97.0,4359626.0
100%,99.0,4365969.0
100%,94.0,4372435.0
100%,99.0,4387067.0
90%,100.0,4392441.0
100%,99.0,4402199.0
100%,89.0,4416566.0
100%,91.0,4417901.0
100%,98.0,4418649.0
100%,100.0,4422501.0
100%,99.0,4429475.0
100%,97.0,4429527.0
100%,93.0,4430996.0
